;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
320;APROVADO;9fab264022905965335b7bc3964f7ed1;0.0;92127264.0;1239413;7.5;4.099999899999999;8.0;f;1.0
321;APROVADO;9fab264022905965335b7bc3964f7ed1;0.0;92127264.0;1239413;7.5;10.0;8.0;f;2.0
322;APROVADO;9fab264022905965335b7bc3964f7ed1;0.0;92127264.0;1239413;7.5;8.5;8.0;f;3.0
323;APROVADO POR NOTA;9f2893d97c3dc2cf63f5501959e73bed;0.0;92127264.0;1239413;5.9;8.0;14.0;f;1.0
324;APROVADO POR NOTA;9f2893d97c3dc2cf63f5501959e73bed;0.0;92127264.0;1239413;5.9;6.0;14.0;f;2.0
325;APROVADO POR NOTA;9f2893d97c3dc2cf63f5501959e73bed;0.0;92127264.0;1239413;5.9;3.79999995;14.0;f;3.0
326;EXCLUIDA;fdf1f636486a3ad1d7bd6cc303c6c32a;;92127264.0;1239413;;;;;
327;APROVADO;a0a89fb407d12afefeb585fbd0232e80;0.0;92127264.0;1239413;7.4;4.30000019;2.0;f;1.0
328;APROVADO;a0a89fb407d12afefeb585fbd0232e80;0.0;92127264.0;1239413;7.4;10.0;2.0;f;2.0
329;APROVADO;a0a89fb407d12afefeb585fbd0232e80;0.0;92127264.0;1239413;7.4;8.0;2.0;f;3.0
330;APROVADO;d6c068dc1fa2742b5855a144bcc4f788;0.0;92127264.0;1239413;7.8;4.30000019;0.0;f;1.0
331;APROVADO;d6c068dc1fa2742b5855a144bcc4f788;0.0;92127264.0;1239413;7.8;10.0;0.0;f;2.0
332;APROVADO;d6c068dc1fa2742b5855a144bcc4f788;0.0;92127264.0;1239413;7.8;9.19999981;0.0;f;3.0
333;EXCLUIDA;d6c068dc1fa2742b5855a144bcc4f788;;92127264.0;1239413;;;;;
334;APROVADO POR NOTA;00451143ff85cced810a59ae7dcc61e6;0.0;92127264.0;1239413;6.0;5.30000019;2.0;f;1.0
335;APROVADO POR NOTA;00451143ff85cced810a59ae7dcc61e6;0.0;92127264.0;1239413;6.0;6.69999981;2.0;f;2.0
336;APROVADO POR NOTA;00451143ff85cced810a59ae7dcc61e6;0.0;92127264.0;1239413;6.0;6.0;2.0;f;3.0
337;APROVADO POR NOTA;77a188e6ffe37c8c56916b5669cc1fa8;0.0;92127264.0;1239413;6.4;5.30000019;16.0;f;1.0
338;APROVADO POR NOTA;77a188e6ffe37c8c56916b5669cc1fa8;0.0;92127264.0;1239413;6.4;10.0;16.0;f;2.0
339;APROVADO POR NOTA;77a188e6ffe37c8c56916b5669cc1fa8;0.0;92127264.0;1239413;6.4;4.0;16.0;f;3.0
340;APROVADO POR NOTA;fdc2d349ed3b784c6d59b955a91c75f8;0.0;92127264.0;1239413;6.6;9.5;2.0;f;2.0
341;APROVADO POR NOTA;fdc2d349ed3b784c6d59b955a91c75f8;0.0;92127264.0;1239413;6.6;5.19999981;2.0;f;3.0
342;APROVADO POR NOTA;fdc2d349ed3b784c6d59b955a91c75f8;0.0;92127264.0;1239413;6.6;5.0;2.0;f;1.0
343;REPROVADO POR MÉDIA E POR FALTAS;0b94a8805eba989f442796ed60e1899b;0.0;92127264.0;1239413;0.8;0.0;32.0;f;1.0
344;REPROVADO POR MÉDIA E POR FALTAS;0b94a8805eba989f442796ed60e1899b;0.0;92127264.0;1239413;0.8;2.5;32.0;f;2.0
345;REPROVADO POR MÉDIA E POR FALTAS;0b94a8805eba989f442796ed60e1899b;0.0;92127264.0;1239413;0.8;0.0;32.0;f;3.0
346;APROVADO;1286821dee33ad4c8c3048282848f6e5;0.0;92127264.0;1239413;7.9;7.69999981;0.0;f;1.0
347;APROVADO;1286821dee33ad4c8c3048282848f6e5;0.0;92127264.0;1239413;7.9;9.5;0.0;f;2.0
348;APROVADO;1286821dee33ad4c8c3048282848f6e5;0.0;92127264.0;1239413;7.9;6.5;0.0;f;3.0
349;EXCLUIDA;1286821dee33ad4c8c3048282848f6e5;;92127264.0;1239413;;;;;
350;EXCLUIDA;0b94a8805eba989f442796ed60e1899b;;92127264.0;1239413;;;;;
351;EXCLUIDA;4b8d2d354d7b7d558750e0e57e539de8;;92127264.0;1239413;;;;;
352;APROVADO;4b8d2d354d7b7d558750e0e57e539de8;0.0;92127264.0;1239413;7.8;5.30000019;14.0;f;1.0
353;APROVADO;4b8d2d354d7b7d558750e0e57e539de8;0.0;92127264.0;1239413;7.8;10.0;14.0;f;2.0
354;APROVADO;4b8d2d354d7b7d558750e0e57e539de8;0.0;92127264.0;1239413;7.8;8.0;14.0;f;3.0
355;EXCLUIDA;77a188e6ffe37c8c56916b5669cc1fa8;;92127264.0;1239413;;;;;
356;EXCLUIDA;fdc2d349ed3b784c6d59b955a91c75f8;;92127264.0;1239413;;;;;
357;EXCLUIDA;a0a89fb407d12afefeb585fbd0232e80;;92127264.0;1239413;;;;;
358;EXCLUIDA;00451143ff85cced810a59ae7dcc61e6;;92127264.0;1239413;;;;;
359;REPROVADO;511d0df6f55de7f9c4818636b1535e02;0.0;92127264.0;57564845;1.8;2.9000001;0.0;f;1.0
360;REPROVADO;511d0df6f55de7f9c4818636b1535e02;0.0;92127264.0;57564845;1.8;2.5;0.0;f;2.0
361;REPROVADO;511d0df6f55de7f9c4818636b1535e02;0.0;92127264.0;57564845;1.8;0.0;0.0;f;3.0
362;TRANCADO;a8293007099ed594f8198548de44d95d;0.0;92127264.0;57564845;;;;f;1.0
363;TRANCADO;a8293007099ed594f8198548de44d95d;0.0;92127264.0;57564845;;;;f;2.0
364;TRANCADO;a8293007099ed594f8198548de44d95d;0.0;92127264.0;57564845;;;;f;3.0
365;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;57564845;5.4;4.5999999;12.0;f;1.0
366;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;57564845;5.4;4.30000019;12.0;t;2.0
367;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;57564845;5.4;5.5999999;12.0;f;3.0
368;APROVADO POR NOTA;b9cc628293a174538ea7495da29d59df;0.0;92127264.0;57564845;6.9;6.5;0.0;f;1.0
369;APROVADO POR NOTA;b9cc628293a174538ea7495da29d59df;0.0;92127264.0;57564845;6.9;7.80000019;0.0;f;2.0
370;APROVADO POR NOTA;b9cc628293a174538ea7495da29d59df;0.0;92127264.0;57564845;6.9;6.4000001;0.0;f;3.0
371;APROVADO POR NOTA;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;57564845;5.8;7.400000099999999;0.0;f;1.0
