,id_turma,codigo,nome_ascii,docente_interno,docente_externo,nivel_ensino,ano,periodo,capacidade_aluno,local,data_inicio,data_fim,codigo_turma,descricao_horario,observacao,distancia,tipo,data_consolidacao,agrupadora,qtd_aulas_lancadas,situacao_turma,convenio,modalidade_participantes,campus_turma,Unnamed: 24
6029,57597969,IMD0043,REDES DE COMPUTADORES,c07b5e1b28c00dedd00e756ed6383932,,GRADUAÇÃO,2017,1,40.0,A307,2017-02-13,2017-07-01,01,6T56  6N12 (13/02/2017 - 01/07/2017),,f,1,,f,,EXCLUÍDA,,Presencial,Campus Central,
6031,57597971,IMD0105,TOPICOS ESPECIAIS EM TECNOLOGIA DA INFORMACAO VI,01920950204a46538299489f883ddcea,,GRADUAÇÃO,2017,1,33.0,A303,2017-02-13,2017-07-01,01,24T12 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 18:55:47.032,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
6037,57597977,IMD0308,SISTEMAS EMBARCADOS DE TEMPO REAL,7fbc3f6d68e59c7f300be1f1e397d160,,GRADUAÇÃO,2017,1,30.0,A303,2017-02-13,2017-07-01,01,24M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 11:04:12.359,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
6041,57597981,IMD0319,TEORIA DE CIRCUITOS ELETRICOS,d248ef95b64aa271b92e8ffe7790b3c7,,GRADUAÇÃO,2017,1,60.0,A306,2017-02-13,2017-07-01,01,35M56 (13/02/2017 - 01/07/2017),,f,1,2017-06-30 20:19:08.886,f,70.0,CONSOLIDADA,,Presencial,Campus Central,
6043,57597983,IMD0322,SISTEMAS DIGITAIS RECONFIGURAVEIS,c134dff4c9ee1309d32d7028bbbfc9f0,,GRADUAÇÃO,2017,1,30.0,A303,2017-02-13,2017-07-01,01,246M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 14:01:50.146,f,108.0,CONSOLIDADA,,Presencial,Campus Central,
6044,57597983,IMD0322,SISTEMAS DIGITAIS RECONFIGURAVEIS,7fbc3f6d68e59c7f300be1f1e397d160,,GRADUAÇÃO,2017,1,30.0,A303,2017-02-13,2017-07-01,01,246M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 14:01:50.146,f,108.0,CONSOLIDADA,,Presencial,Campus Central,
6048,57597987,IMD0323,METODOLOGIAS DE PROJETOS EM SISTEMAS EMBARCADOS,ca2d4724ce3076c527c6fe3b25b4e688,,GRADUAÇÃO,2017,1,30.0,A304,2017-02-13,2017-07-01,01,24M56 (13/02/2017 - 01/07/2017),,f,1,2017-06-28 11:17:34.16,f,70.0,CONSOLIDADA,,Presencial,Campus Central,
6053,57597990,IMD0324,PROJETO INTEGRADO I,01920950204a46538299489f883ddcea,,GRADUAÇÃO,2017,1,5.0,A definir,2017-02-13,2017-07-01,01,2T34 (13/02/2017 - 01/07/2017),,f,1,2017-06-27 16:14:27.028,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
6055,57597992,IMD0328,TECNICAS DE PROTOTIPACAO E MONTAGEM DE CIRCUITOS E SISTEMAS ELETRONICOS,d248ef95b64aa271b92e8ffe7790b3c7,,GRADUAÇÃO,2017,1,30.0,Sala 201 - NPITI,2017-02-13,2017-07-01,01,35M34 (13/02/2017 - 01/07/2017),,f,1,2017-06-30 20:26:49.135,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
6059,57597996,IMD0403,PROGRAMACAO COM BANCO DE DADOS,1dcd17a76e0e8b7795b9a6e3cac38fe4,,GRADUAÇÃO,2017,1,40.0,A303,2017-02-13,2017-07-01,01,24N12 (13/02/2017 - 01/07/2017),,f,1,2017-06-26 14:25:20.402,f,70.0,CONSOLIDADA,,Presencial,Campus Central,
